tr_tra_name_2018,Date,Visitors (000),Nights (000),Expenditure ($M),Average nights,Average spend per trip,Average spend per night
Hobart and the South,2017-01-01,"1,449","5,309","1,273",4,879,240
East Coast,2017-01-01,398,"1,052",106,3,265,100
Launceston and the North,2017-01-01,828,"2,179",558,3,674,256
North West,2017-01-01,531,"1,928",304,4,572,158
West Coast,2017-01-01,142,450,49,3,344,109
Darwin,2017-01-01,716,"4,323",928,6,"1,296",215
Barkly,2017-01-01,143,256,98,2,685,383
Alice Springs,2017-01-01,319,"1,313",329,4,"1,032",251
Litchfield Kakadu Arnhem,2017-01-01,291,"1,065",177,4,609,167
Katherine Daly,2017-01-01,311,"1,012",166,3,534,164
Lasseter,2017-01-01,213,843,274,4,"1,288",326
MacDonnell,2017-01-01,89,462,15,5,164,32
Canberra,2017-01-01,"2,649","6,703","1,620",3,612,242
