tr_tra_name_2018,Date,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland,Italy,Netherlands,Switzerland
Launceston and the North,2015,,,6,,,,,,,1,,,,4,,,,,,,,
North West,2015,,,,,,,,,,,,,,,,,,,,,,
West Coast,2015,,,,,,,,,,,,,,,,,,,,,,
Darwin,2015,5,,,,,,,,,,,3,,16,3,,3,,4,3,,
Barkly,2015,,,,,,,,,,,,,,,,,,,,,,
Alice Springs,2015,,,,,,,,,,,,4,,17,3,,4,,5,4,,
Litchfield Kakadu Arnhem,2015,,,,,,,,,,,,,,,0,,,,,,,
Katherine Daly,2015,,,,,,,,,,,,,,,1,,,,,,,
Lasseter,2015,,1,,,,,,,,,,5,,15,4,,9,3,,9,,
MacDonnell,2015,,,,,,,,,,,,,,,,,,,,,,
Canberra,2015,5,,,5,,,,,,6,,7,,8,3,,,,,,,
Sydney,2016,161,113,115,80,68,66,37,199,675,125,396,79,334,119,60,75,39,26,29,39,26,29
Blue Mountains,2016,,,,,,,,,,,,5,,11,4,,1,,,,,
Capital Country,2016,,,,,,,,,,,,,,,,,,,,,,
Central Coast,2016,1,,,,,,,,,,,,,1,,,,,,,,
Central NSW,2016,,,,,,,,,,,,,,,,,,,,,,
Hunter,2016,3,,,,,,,,,2,,6,31,14,7,7,2,,,,,
New England North West,2016,,,,,,,,,,,,,,,,,,,,,,
North Coast NSW,2016,6,,,,,,,,,1,,17,66,39,16,14,4,9,10,4,,
Outback NSW,2016,,,,,,,,,,,,,,,,,,,,,,
Riverina,2016,,,,,,,,,,,,,,,,,,,,,,
Snowy Mountains,2016,,,,,,,,,,,,,,,,,,,,,,
South Coast,2016,3,,,,,,,,,1,,7,24,11,5,,1,,,,,
The Murray,2016,,,,,,,,,,,,,,,,,,,,,,
Melbourne,2016,57,86,120,138,61,53,27,48,563,112,187,44,199,76,35,46,29,18,18,29,18,18
Ballarat,2016,,,,,,,,,,,,,,,,,,,,,,
Bendigo Loddon,2016,,,,,,,,,,,,,,,,,,,,,,
Central Highlands,2016,,,,,,,,,,,,,,,2,,,,,,,
Central Murray,2016,,,,,,,,,,,,,,,,,,,,,,
Geelong and the Bellarine,2016,,,,,,,,,,,,,,2,,,,,,,,
Gippsland,2016,,,,,,,,,,,,,,7,1,,,,,,,
Goulburn,2016,,,,,,,,,,,,,,,,,,,,,,
Great Ocean Road,2016,2,,,6,,,,,,3,,6,29,18,7,12,5,,6,5,,
High Country,2016,,,,,,,,,,,,,,,,,,,,,,
Lakes,2016,,,,,,,,,,,,,,,,,,,,,,
Macedon,2016,,,,,,,,,,,,,,,,,,,,,,
Mallee,2016,,,,,,,,,,,,,,,,,,,,,,
Melbourne East,2016,1,,,,,,,,,,,,,,,,,,,,,
Murray East,2016,,,,,,,,,,,,,,,,,,,,,,
Peninsula,2016,1,,,,,,,,,,,,,2,,,,,,,,
Phillip Island,2016,,,,,,,,,,,,,,,,,,,,,,
Spa Country,2016,,,,,,,,,,,,,,,,,,,,,,
Upper Yarra,2016,,,,,,,,,,,,,,,,,,,,,,
Western Grampians,2016,,,,,,,,,,,,,,,,,,,,,,
Wimmera,2016,,,,,,,,,,,,,,,,,,,,,,
Brisbane,2016,39,35,33,24,16,35,9,40,222,25,100,31,126,52,23,25,9,12,15,9,12,
Bundaberg,2016,,,,,,,,,,,,,,6,1,,,,,,,
Southern Queensland Country,2016,,,,,,,,,,,,,,,,,,,,,,
Fraser Coast,2016,,,,,,,,,,,,6,34,26,9,9,3,,6,3,,
Gold Coast,2016,64,26,30,25,7,,5,,294,23,39,15,66,23,15,13,7,4,6,7,4,6
Mackay,2016,,,,,,,,,,,,,,,1,,,,,,,
Townsville,2016,1,,,,,,,,,,,5,,24,6,8,2,,5,2,,
Outback Queensland,2016,,,,,,,,,,,,,,,,,,,,,,
Sunshine Coast,2016,4,,,,,,,,,,,11,54,35,13,8,2,,10,2,8,
Tropical North Queensland,2016,109,23,6,3,,,2,,230,19,108,22,84,51,18,17,8,12,10,8,12,10
Whitsundays,2016,9,1,,,,,,,,2,,11,49,33,11,10,4,,7,4,,
Capricorn,2016,,,,,,,,,,,,3,,13,2,,,,,,,
Gladstone,2016,,,,,,,,,,,,,,8,3,,,,,,,
Adelaide,2016,7,11,15,12,7,4,,,,12,50,11,54,28,10,12,9,6,8,9,,
Adelaide Hills,2016,,,,,,,,,,,,,,,,,,,,,,
Barossa,2016,,,,,,,,,,,,,,,,,,,,,,
Clare Valley,2016,,,,,,,,,,,,,,,,,,,,,,
Eyre Peninsula,2016,,,,,,,,,,,,,,,,,,,,,,
Fleurieu Peninsula,2016,,,,,,,,,,,,,,,,,,,,,,
Limestone Coast,2016,,,,,,,,,,,,,,6,,,,,,,,
"Murray River, Lakes and Coorong",2016,,,,,,,,,,,,,,,,,,,,,,
Riverland,2016,,,,,,,,,,,,,,,,,,,,,,
Yorke Peninsula,2016,,,,,,,,,,,,,,,,,,,,,,
Flinders Ranges and Outback,2016,,,,,,,,,,,,,,6,3,,,,,,,
Kangaroo Island,2016,,,,,,,,,,,,,,,,,,,,,,
Experience Perth,2016,25,22,97,105,29,11,12,14,51,23,79,18,147,37,13,18,14,8,11,14,8,
Australia's Golden Outback,2016,,,,,,,,,,,,,,8,1,,,,,,,
Australia's North West,2016,1,,,,,,,,,,,2,,11,2,,,,,,,
Australia's South West,2016,3,,,17,2,,,,,,,6,,10,4,,3,,,3,,
Australia's Coral Coast,2016,,,,,,,,,,,,,,13,2,,2,,,2,,
Hobart and the South,2016,7,,10,11,2,,,,,5,,5,,9,3,,4,,,,,
East Coast,2016,,,,,,,,,,,,,,5,,,,,,,,
Launceston and the North,2016,,,7,,,,,,,1,,,,4,,,,,,,,
North West,2016,,,,,,,,,,,,,,,,,,,,,,
West Coast,2016,,,,,,,,,,,,,,,,,,,,,,
Darwin,2016,4,,,,,,,,,,,5,,16,4,,4,,4,,,
Barkly,2016,,,,,,,,,,,,,,,,,,,,,,
Alice Springs,2016,,,,,,,,,,,,3,,18,5,,4,,4,4,,
Litchfield Kakadu Arnhem,2016,,,,,,,,,,,,,,,1,,,,,,,
Katherine Daly,2016,,,,,,,,,,,,,,,1,,,,,,,
Lasseter,2016,,3,,,,,,,,,,5,,18,4,,,3,,8,,
MacDonnell,2016,,,,,,,,,,,,,,,,,,,,,,
Canberra,2016,4,,,5,,,,,,8,22,5,,8,3,,,,,,,
Sydney,2017,162,125,109,82,76,78,40,220,770,140,440,91,348,122,69,70,43,31,30,43,31,30
Blue Mountains,2017,,,,,,,,,,,,6,,12,5,,,,3,,,
Capital Country,2017,,,,,,,,,,,,,,,,,,,,,,
Central Coast,2017,0,,,,,,,,,,,,,3,,,,,,,,
Central NSW,2017,,,,,,,,,,,,,,,,,,,,,,
Hunter,2017,3,,,,,,,,,4,,9,30,12,8,7,2,,4,,,
New England North West,2017,,,,,,,,,,,,,,,,,,,,,,
North Coast NSW,2017,4,,,,,,,,,4,,18,70,38,18,17,6,10,10,6,,
Outback NSW,2017,,,,,,,,,,,,,,,,,,,,,,
Riverina,2017,,,,,,,,,,,,,,,,,,,,,,
Snowy Mountains,2017,,,,,,,,,,,,,,,,,,,,,,
South Coast,2017,3,,,,,,,,,4,,8,30,13,3,,2,,3,,,
The Murray,2017,,,,,,,,,,,,,,,,,,,,,,
Melbourne,2017,76,97,124,136,70,54,29,57,611,138,218,46,203,80,37,44,28,22,22,28,22,22
Ballarat,2017,,,,,,,,,,,,,,,,,,,,,,
Bendigo Loddon,2017,,,,,,,,,,,,,,,,,,,,,,
Central Highlands,2017,,,,,,,,,,,,,,,2,,,,,,,
Central Murray,2017,,,,,,,,,,,,,,,,,,,,,,
Geelong and the Bellarine,2017,,,,,,,,,,1,,,,3,,,,,,,,
Gippsland,2017,,,,,,,,,,,,,,,,,,,,,,
Goulburn,2017,,,,,,,,,,,,,,,,,,,,,,
Great Ocean Road,2017,1,,,7,,,,,,5,,5,,19,7,,6,8,10,6,,
High Country,2017,,,,,,,,,,,,,,,,,,,,,,
Lakes,2017,,,,,,,,,,,,,,,,,,,,,,
