tr_tra_name_2018,Date,New Zealand,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland
Gold Coast,2015-01-01,182,48,18,34,30,np,19,np,25,212,21,30,15,62,25,13,9,4,4,8
Mackay,2015-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,5,6,np,np,np,np,np
Townsville,2015-01-01,10,np,np,np,np,np,np,np,np,np,np,8,np,25,22,7,6,np,5,5
Outback Queensland,2015-01-01,np,np,np,np,np,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np
Sunshine Coast,2015-01-01,58,np,np,np,np,np,np,np,np,np,np,14,12,59,32,13,11,np,6,6
Tropical North Queensland,2015-01-01,36,88,18,np,np,np,8,np,10,165,19,92,26,92,49,21,22,10,9,13
Whitsundays,2015-01-01,12,8,np,np,np,np,np,np,np,12,np,16,10,49,30,11,11,4,7,8
Capricorn,2015-01-01,np,np,np,np,np,np,np,np,np,np,np,5,np,12,11,np,np,np,3,np
Gladstone,2015-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,11,12,np,np,np,3,np
Adelaide,2015-01-01,33,np,13,13,15,np,np,np,np,30,14,31,11,51,26,10,14,9,5,11
Adelaide Hills,2015-01-01,np,np,np,0,np,0,0,0,0,0,0,np,np,np,np,np,np,np,np,0
Barossa,2015-01-01,np,np,0,np,np,np,0,0,0,np,np,np,np,np,np,np,np,0,np,np
Clare Valley,2015-01-01,np,0,0,0,0,0,0,0,0,0,0,0,0,np,np,np,0,0,np,0
Eyre Peninsula,2015-01-01,np,np,np,np,np,np,0,0,np,np,0,np,np,np,np,np,np,np,np,np
Fleurieu Peninsula,2015-01-01,np,np,np,np,np,np,0,0,np,np,0,np,np,np,np,np,np,np,np,np
Limestone Coast,2015-01-01,np,np,np,np,np,0,np,0,0,np,np,np,np,7,np,np,np,np,np,np
Murraylands,2015-01-01,np,0,np,np,0,np,np,0,0,np,0,np,np,np,np,np,0,0,np,np
Riverland,2015-01-01,np,np,0,0,0,0,np,np,np,np,0,np,np,np,np,np,np,np,np,0
Yorke Peninsula,2015-01-01,np,0,0,0,0,0,np,0,0,0,0,0,np,np,np,0,np,0,0,np
Flinders Ranges and Outback,2015-01-01,np,np,np,np,np,np,np,0,0,np,np,np,np,np,6,np,np,np,np,np
Kangaroo Island,2015-01-01,np,np,np,np,np,0,0,0,0,np,np,np,np,np,np,np,np,5,np,np
Experience Perth,2015-01-01,72,22,18,79,74,26,12,9,12,41,20,52,15,135,30,14,18,13,7,11
Australia's Golden Outback,2015-01-01,8,np,np,np,np,np,np,np,np,np,np,np,np,9,4,np,np,np,np,np
Australia's North West,2015-01-01,14,np,np,np,np,np,np,np,np,np,np,8,np,9,7,np,4,np,np,np
Australia's South West,2015-01-01,14,np,np,18,8,np,np,np,np,np,np,10,np,30,8,np,5,np,np,np
Australia's Coral Coast,2015-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,11,10,np,4,np,np,np
Hobart and the South,2015-01-01,11,np,14,8,5,np,np,np,np,28,np,21,np,19,9,np,6,np,np,np
East Coast,2015-01-01,np,np,np,np,np,0,np,0,np,np,0,np,np,np,np,np,np,np,np,np
Launceston and the North,2015-01-01,np,np,np,np,np,np,np,np,np,10,np,9,np,10,np,np,np,np,np,np
North West,2015-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
West Coast,2015-01-01,np,np,np,np,np,np,0,np,0,np,0,np,np,np,np,np,np,np,np,np
Darwin,2015-01-01,10,np,np,np,np,np,np,np,np,np,np,16,np,21,16,np,11,5,4,6
Barkly,2015-01-01,np,0,np,np,0,np,np,np,0,0,0,np,np,np,np,np,np,np,np,np
Alice Springs,2015-01-01,np,np,np,np,np,np,np,np,np,np,np,17,np,16,19,np,11,5,4,7
Litchfield Kakadu Arnhem,2015-01-01,np,0,np,np,np,np,np,np,np,0,0,np,np,np,5,np,np,np,np,np
Katherine Daly,2015-01-01,np,0,np,np,np,np,np,np,np,0,0,np,np,np,6,np,np,np,np,np
Lasseter,2015-01-01,np,18,np,np,np,np,np,np,np,np,np,24,np,20,17,np,11,8,3,6
MacDonnell,2015-01-01,np,0,0,0,0,0,0,0,0,0,0,np,np,np,np,0,np,np,np,np
Canberra,2015-01-01,14,np,np,7,np,np,np,np,np,27,np,18,7,21,10,np,np,np,np,np
Sydney,2016-01-01,382,136,109,121,77,58,68,35,181,630,117,380,80,339,117,60,70,38,24,32
Blue Mountains,2016-01-01,np,np,np,np,np,np,np,np,np,np,np,12,np,21,9,np,6,np,np,np
Central Coast,2016-01-01,11,np,np,np,np,np,np,np,np,np,np,np,np,10,np,np,np,0,np,np
Central NSW,2016-01-01,10,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Hunter,2016-01-01,16,np,np,np,np,np,np,np,np,9,np,18,6,32,12,np,np,np,np,np
New England North West,2016-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
North Coast NSW,2016-01-01,31,np,np,np,np,np,np,np,np,np,np,28,16,68,39,18,15,5,8,11
Outback NSW,2016-01-01,np,np,0,0,0,0,0,np,0,np,0,np,np,np,np,np,np,0,np,np
Riverina,2016-01-01,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Snowy Mountains,2016-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
South Coast,2016-01-01,9,np,np,np,np,np,np,np,np,12,np,18,8,23,11,np,7,np,np,np
The Murray,2016-01-01,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Melbourne,2016-01-01,299,51,84,123,134,53,50,25,50,539,102,186,42,210,75,33,44,30,15,20
Ballarat,2016-01-01,np,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np,np
Bendigo Loddon,2016-01-01,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Central Highlands,2016-01-01,np,np,np,np,np,np,np,np,0,np,np,np,np,8,5,np,np,np,np,np
Central Murray,2016-01-01,np,np,np,np,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np,np
Geelong and the Bellarine,2016-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,8,np,np,np,np,np,np
Gippsland,2016-01-01,np,np,np,np,np,0,np,np,np,np,np,np,np,np,5,np,np,np,np,np
Goulburn,2016-01-01,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
