DATE,LGA_CODE,LGA Name,"Agriculture, forestry and fishing (%)",Mining (%),Manufacturing  (%),"Electricity, Gas, Water & Waste Services (%)",Construction (%),Wholesale trade (%),Retail trade (%),Accommodation and food services (%),"Transport, Postal and Warehousing (%)",Information media and telecommunications (%),Financial and insurance services (%),"Rental, Hiring, & Real Estate Services (%)",Professional Scientific & Technical Services (%),Administrative and support services (%),Public administration and safety (%),Education and training (%),Health care and social assistance (%),Arts and recreation services (%),Other services (%),Total persons employed (no.)
2011,16550,Randwick (C),0.1,0.2,4.3,0.7,6,3.8,7.7,6.6,5,3.9,7.5,2.1,11.9,3.5,6.3,10.2,12.3,2.6,3.1,63019
2011,16610,Richmond Valley (A),7.5,0.7,15.2,1,6.5,3.5,11.8,6.7,4.9,0.8,1.5,1.3,2.9,2.5,4.5,7.9,13.5,1.2,3.7,8094
2011,16700,Ryde (C),0.1,0.1,6.7,0.8,5.8,6.4,9.4,5.9,3.4,4.2,7.4,1.7,12.3,3.5,4.7,8.7,11.5,1.4,3.8,50301
2011,16900,Shellharbour (C),0.3,2.4,11.7,1.2,9.3,2.8,12.9,6.7,5.9,0.8,3.1,1.6,3.9,3.2,6.7,7,13.1,1.2,4.5,27409
2011,16950,Shoalhaven (C),2,0.4,7.9,1.1,9.3,2.1,12.8,9.4,3.7,1,1.6,1.7,4.5,3.1,10.3,7.7,14.1,1.7,3.7,33846
2011,17000,Singleton (A),3.9,24.6,7,2.3,6.2,3,8.2,6.6,3.2,0.5,1.1,1.6,3.6,3.5,5.3,5,6.4,0.5,5.2,11394
2011,17040,Snowy Monaro Regional (A),10.1,0.4,4.2,3.5,7.5,2.1,10.2,13.1,3.3,0.9,1.1,1.9,4.4,3,9,7,8.3,4.8,3.1,9453
2011,17080,Snowy Valleys (A),16.4,0.3,14.9,3.1,7.5,2.4,9.7,6.5,4.3,0.5,1.3,0.8,2.3,2.3,5,6.2,9.6,1.3,2.7,6304
2011,17100,Strathfield (A),0.2,0.2,6.3,0.7,5.7,5.9,10.5,7.9,3.9,2.5,7.7,1.6,10.3,3.8,4.9,6.6,14.2,1.2,2.8,16492
2011,17150,Sutherland Shire (A),0.1,0.2,8,1.2,8.8,4.8,10.1,5.2,7.1,1.9,5.8,2,8.5,3,6.8,8.8,10.3,1.6,3.8,110466
2011,17200,Sydney (C),0.1,0.2,3.6,0.5,3.1,3.8,7.6,10,3.1,6.1,10.1,1.8,16.8,4.4,5.6,7.3,7.9,3,2.8,96797
2011,17310,Tamworth Regional (A),6.6,0.8,9.3,1.1,7.5,3.5,11.5,7,5.1,1.1,2.4,1.5,3.5,2.6,6,8.7,14.2,1,4.4,24895
