sa2_name_2011,date,Room nights occupied (no.),Room nights available (no.),Room occupancy rate (%),Guest nights occupied (no.),Guest nights available (no.),Bed occupancy rate (%),Takings from accommodation ($),Average takings per room night occupied ($),Average takings per room night available ($)
Wagin,2015-11-01,,,,,,,,,
Augusta,2015-11-01,926,2820,32.8,1651,7620,21.7,128439,138.76,45.55
Busselton,2015-11-01,12667,22590,56.1,27833,83370,33.4,2079880,164.2,92.07
Busselton Region,2015-11-01,5622,9210,61,12765,41400,30.8,1526451,271.51,165.74
Margaret River,2015-11-01,7023,10200,68.9,13894,27930,49.7,1211048,172.44,118.73
Bunbury,2015-11-01,11379,17220,66.1,17448,45720,38.2,1582341,139.06,91.89
Collie,2015-11-01,798,3030,26.3,1499,7230,20.7,71118,89.12,23.47
Eaton - Pelican Point,2015-11-01,,,,,,,,,
Harvey,2015-11-01,,,,,,,,,
Bridgetown - Boyup Brook,2015-11-01,,,,,,,,,
Donnybrook - Balingup,2015-11-01,,,,,,,,,
Manjimup,2015-11-01,,,,,,,,,
Pemberton,2015-11-01,3104,7140,43.5,6295,19980,31.5,408145,131.47,57.16
Albany,2015-11-01,8531,14010,60.9,13999,41100,34.1,1148976,134.68,82.01
Denmark,2015-11-01,830,1950,42.5,1410,5880,24,86751,104.58,44.49
Gnowangerup,2015-11-01,,,,,,,,,
Katanning,2015-11-01,,,,,,,,,
Kojonup,2015-11-01,,,,,,,,,
McKail - Willyung,2015-11-01,,,,,,,,,
Plantagenet,2015-11-01,,,,,,,,,
Broome,2015-11-01,16769,38370,43.7,28467,109890,25.9,2832838,168.94,73.83
Derby - West Kimberley,2015-11-01,,,,,,,,,
Halls Creek,2015-11-01,,,,,,,,,
Kununurra,2015-11-01,3478,11940,29.1,4619,30690,15.1,577971,166.18,48.41
Roebuck,2015-11-01,,,,,,,,,
Ashburton (WA),2015-11-01,10645,20820,51.1,11200,36000,31.1,994913,93.46,47.79
East Pilbara,2015-11-01,,,,,,,,,
Karratha,2015-11-01,5716,9540,59.9,6261,20070,31.2,1299393,227.33,136.2
Newman,2015-11-01,6874,11010,62.4,6934,18420,37.6,712817,103.7,64.74
Port Hedland,2015-11-01,3998,10344,38.6,5328,19238,27.7,745888,186.58,72.11
Roebourne,2015-11-01,,,,,,,,,
South Hedland,2015-11-01,,,,,,,,,
Carnarvon,2015-11-01,2235,4770,46.9,3994,15930,25.1,371886,166.39,77.96
Exmouth,2015-11-01,6722,14220,47.3,10708,44910,23.8,951418,141.55,66.91
Geraldton,2015-11-01,7467,14730,50.7,10626,45960,23.1,1293543,173.23,87.82
Geraldton - South,2015-11-01,,,,,,,,,
Irwin,2015-11-01,,,,,,,,,
Morawa,2015-11-01,,,,,,,,,
Northampton - Mullewa - Greenough,2015-11-01,,,,,,,,,
Gingin - Dandaragan,2015-11-01,1088,2940,37,1816,8340,21.8,150232,138.08,51.1
Waroona,2015-12-01,,,,,,,,,
Halls Head - Erskine,2015-12-01,,,,,,,,,
Mandurah,2015-12-01,8802,15500,56.8,17300,57195,30.2,1515163,172.14,97.75
Mandurah - East,2015-12-01,,,,,,,,,
Pinjarra,2015-12-01,,,,,,,,,
Cottesloe,2015-12-01,,,,,,,,,
Nedlands - Dalkeith - Crawley,2015-12-01,,,,,,,,,
Perth City,2015-12-01,141432,191673,73.8,218849,467170,46.8,25697010,181.69,134.07
Subiaco - Shenton Park,2015-12-01,,,,,,,,,
Bayswater - Embleton - Bedford,2015-12-01,,,,,,,,,
Mundaring,2015-12-01,,,,,,,,,
Ellenbrook,2015-12-01,,,,,,,,,
Midland - Guildford,2015-12-01,,,,,,,,,
The Vines,2015-12-01,,,,,,,,,
Heathridge - Connolly,2015-12-01,,,,,,,,,
Hillarys,2015-12-01,,,,,,,,,
Sorrento - Marmion,2015-12-01,,,,,,,,,
Scarborough,2015-12-01,13015,16895,77,25273,41726,60.6,2647681,203.43,156.71
Trigg - North Beach - Watermans Bay,2015-12-01,,,,,,,,,
Mindarie - Quinns Rocks - Jindalee,2015-12-01,,,,,,,,,
Yanchep,2015-12-01,,,,,,,,,
Armadale - Wungong - Brookdale,2015-12-01,,,,,,,,,
Belmont - Ascot - Redcliffe,2015-12-01,14100,22413,62.9,20400,45322,45,2799979,198.58,124.93
Rivervale - Kewdale - Cloverdale,2015-12-01,4915,11284,43.6,8858,32581,27.2,834921,169.87,73.99
Victoria Park - Lathlain - Burswood,2015-12-01,,,,,,,,,
Bentley - Wilson - St James,2015-12-01,,,,,,,,,
Beckenham - Kenwick - Langford,2015-12-01,,,,,,,,,
Como,2015-12-01,4058,6262,64.8,7841,18104,43.3,800287,197.21,127.8
South Perth - Kensington,2015-12-01,5152,6815,75.6,9620,22776,42.2,983634,190.92,144.33
Henderson,2015-12-01,,,,,,,,,
East Fremantle,2015-12-01,,,,,,,,,
Fremantle,2015-12-01,15142,20348,74.4,27253,48694,56,3360513,221.93,165.15
Booragoon,2015-12-01,,,,,,,,,
Baldivis,2015-12-01,,,,,,,,,
Rockingham,2015-12-01,2348,6076,38.6,3475,16430,21.2,419457,178.64,69.04
Chittering,2015-12-01,,,,,,,,,
Northam,2015-12-01,,,,,,,,,
Toodyay,2015-12-01,,,,,,,,,
York - Beverley,2015-12-01,,,,,,,,,
Esperance,2015-12-01,5233,7347,71.2,8707,22568,38.6,755919,144.45,102.89
Esperance Region,2015-12-01,,,,,,,,,
Kalgoorlie,2015-12-01,11645,27900,41.7,13900,67704,20.5,1474091,126.59,52.83
Kambalda - Coolgardie - Norseman,2015-12-01,3177,7626,41.7,4886,21328,22.9,344005,108.28,45.11
Leinster - Leonora,2015-12-01,636,2976,21.4,647,5580,11.6,88986,139.92,29.9
Meekatharra,2015-12-01,,,,,,,,,
Merredin,2015-12-01,,,,,,,,,
Moora,2015-12-01,1032,2635,39.2,1167,6045,19.3,105277,102.01,39.95
