lga_code_2016,lga_name_2016,New Zealand,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland
24410,Maroondah (C),10414,164,1362,2422,1473,267,486,1730,101,3703,1681,3220,1726,8075,879,0,893,273,612,320
24600,Melbourne (C),639932,146949,218772,299234,294420,142764,142451,59436,141803,1363669,189874,490608,122327,490993,227923,94871,125956,89291,49083,61907
24650,Melton (C),13483,863,532,661,1391,915,203,212,277,2844,4653,3010,1440,3783,375,92,117,368,73,46
24780,Mildura (RC),8791,1196,2848,642,4698,302,4155,507,1911,3331,292,3746,2908,11800,5065,1808,4059,3217,1068,973
24850,Mitchell (S),3633,188,0,369,1266,0,216,250,288,961,363,2044,86,2936,262,1081,253,0,55,67
24900,Moira (S),3431,178,115,103,719,509,448,245,98,284,0,1507,697,1855,0,541,710,0,261,0
24970,Monash (C),32484,4292,14870,23493,28810,10683,5220,2838,4672,74392,20100,7883,2175,12794,4904,1812,2210,878,888,895
25060,Moonee Valley (C),15591,938,2403,2580,4352,1227,675,854,744,8655,3631,3460,1113,4301,2359,385,586,970,730,578
25150,Moorabool (S),2540,0,0,150,360,0,0,0,0,0,0,562,401,1556,0,0,76,341,68,0
25250,Moreland (C),24733,3113,2314,5004,6761,2604,877,1836,697,10669,7289,11190,2095,19405,4003,3912,4569,3865,1603,461
25340,Mornington Peninsula (S),20823,1484,3941,6590,5771,1409,1188,1454,301,6294,1570,11718,3224,29023,4893,1750,4623,2334,2862,2370
25430,Mount Alexander (S),2844,0,0,82,0,241,130,115,0,405,762,851,136,2632,121,194,612,71,0,189
25490,Moyne (S),9100,715,97,2861,2752,71,525,259,178,2824,113,6054,4262,22504,8506,2334,4406,1153,3174,4524
25620,Murrindindi (S),5951,1155,1487,4396,1097,268,562,248,86,2102,168,4007,924,3530,931,875,472,435,487,136
25710,Nillumbik (S),5355,0,275,107,531,822,182,417,0,983,0,1645,63,6497,614,827,872,598,333,348
25810,Northern Grampians (S),5123,1348,246,4488,2657,371,910,739,399,1955,783,9417,4264,18260,24552,7105,7761,1670,7410,6726
25900,Port Phillip (C),62101,2995,7245,16184,13992,5861,1384,2791,1725,20788,8639,26809,6839,77086,20032,10826,11514,6212,5049,2922
25990,Pyrenees (S),517,0,0,0,0,0,0,0,231,126,0,458,61,1363,614,136,198,0,179,0
26080,Queenscliffe (B),2051,188,0,0,708,0,0,0,0,430,166,1458,403,2224,1920,306,153,0,125,0
26170,South Gippsland (S),3676,332,244,1707,1444,68,88,511,152,3224,926,6056,2426,11571,16956,1106,5280,1586,3230,4754
26260,Southern Grampians (S),4384,0,484,201,0,0,301,0,81,1762,145,1272,759,2570,1603,547,550,149,219,1302
26350,Stonnington (C),36345,4387,4953,10456,8900,6758,2391,2410,1657,19804,4285,13473,3615,27746,5497,3715,4412,3581,1451,541
26430,Strathbogie (S),1160,0,0,234,0,0,105,102,0,602,0,1992,337,1068,549,173,0,31,59,0
26490,Surf Coast (S),16520,605,599,2984,2973,306,0,537,404,11570,2272,14608,6384,30335,13591,3635,6163,3152,4330,5651
26610,Swan Hill (RC),2629,238,1090,0,2366,1324,1831,204,107,168,94,1355,67,2209,1779,1155,943,287,101,109
26670,Towong (S),1136,0,0,208,0,0,0,0,0,0,0,566,97,1794,479,252,190,40,161,0
26700,Wangaratta (RC),3371,220,150,169,733,41,458,61,118,940,78,1783,1061,2649,625,1186,441,221,238,93
26730,Warrnambool (C),9300,981,2060,3645,2700,1163,1233,933,2269,8485,924,8442,3600,16404,14422,3883,3780,2711,4185,4585
26810,Wellington (S),4148,440,789,405,765,158,1249,148,260,1257,385,5182,1693,8041,5307,601,397,108,1530,1511
26890,West Wimmera (S),543,332,0,0,0,0,0,0,0,0,0,84,0,230,211,0,0,0,213,287
26980,Whitehorse (C),17168,1804,12255,7691,19262,4483,6455,1320,2060,80991,8470,9045,2962,11009,1545,1176,601,1495,754,1317
27070,Whittlesea (C),9019,0,919,2955,2826,1636,130,448,228,4306,10340,2949,1413,4273,1027,171,300,475,31,218
27170,Wodonga (C),2770,0,229,0,194,130,227,0,0,779,0,369,307,4030,509,314,226,111,272,68
