X,Y,id,ENO,NAME,SYNONYMS,STATE,LONGITUDE,LATITUDE,ACCURACY,SIGNIFICANT,SIGNIFICANCE_VALUE,SIGNIFICANCE_CALC_METHOD,ACCESS_CODE,COMMODIDS,COMMODNAMES,OPERATING_STATUS
118.3523,-26.916,mineral_deposits.3558,"335961",Bailey Island South,Nannine Project,WA,118.3523,-26.916,"999",N,"6",AUTO,O,Au,Gold,historic mine
120.9035,-22.0853,mineral_deposits.3559,"333427",Bee Hill,,WA,120.90348,-22.08528,"0",N,"5",AUTO,O,Mn,Manganese,historic mine
118.2887,-27.0444,mineral_deposits.3560,"333804",Boomerang,Reedy's Project,WA,118.2887,-27.0444,"999",N,"5",AUTO,O,Au,Gold,historic mine
115.8943,-28.0102,mineral_deposits.3561,"334573",Carlinga Well,,WA,115.8942586542,-28.010152349,"100",N,"6",AUTO,O,Au,Gold,mineral deposit
140.1992,-20.5806,mineral_deposits.3562,"335317",Cloncurry,,QLD,140.1991883068,-20.5805581126,"100",N,"5",AUTO,O,Cu,Copper,mineral deposit
146.1997,-37.5051,mineral_deposits.3563,"335487",A1 Gold Mine (Gaffneys Creek),,VIC,146.1997,-37.5051,"500",N,"5",AUTO,O,Au,Gold,operating mine
150.4677,-26.6786,mineral_deposits.3564,"335164",Rywung,,QLD,150.4676632328,-26.6785851035,"250",Y,"3",AUTO,O,Cbl,Coal - black,mineral deposit
152.1518,-27.144,mineral_deposits.3565,"334496",Eskdale,,QLD,152.1518299013,-27.143950225,"100",N,"6",AUTO,O,Sb,Antimony,mineral deposit
150.84,-32.2368,mineral_deposits.3566,"335620",Mount Pleasant (MACH Energy Pty Limited),,NSW,150.8399833394,-32.2368420817,"500",Y,"2",AUTO,O,Cbl,Coal - black,operating mine
151.2635,-28.8474,mineral_deposits.3567,"335715",Twin Hills (Texas Silver),Twin Hills Project,QLD,151.2635,-28.8474,"999",N,"6",AUTO,O,"Ag, (Au)","Silver, (Gold)",unknown
151.54,-32.8868,mineral_deposits.3568,"334438",Tasman,O'Donnell,NSW,151.5400023376,-32.8868249955,"500",Y,"3",AUTO,O,Cbl,Coal - black,care and maintenance
149.571,-33.9047,mineral_deposits.3569,"336190",Hackneys Creek,,NSW,149.5709958363,-33.9047311739,"50",N,"5",AUTO,O,Au,Gold,mineral deposit
145.9114,-32.9158,mineral_deposits.3570,"335889",Mount Solar,,NSW,145.9114278787,-32.9157949683,"250",N,"5",AUTO,O,Au,Gold,mineral deposit
145.7074,-32.6414,mineral_deposits.3571,"335700",Wagga Tank,,NSW,145.7074272851,-32.6413974665,"250",N,"4",AUTO,O,"Zn, Cu, Pb, Ag, Au","Zinc, Copper, Lead, Silver, Gold",mineral deposit
146.8224,-32.4581,mineral_deposits.3572,"335162",Yellow Mountain,,NSW,146.8223874304,-32.458075438,"250",N,"4",AUTO,O,"Zn, Cu, Pb, Ag, Au","Zinc, Copper, Lead, Silver, Gold",mineral deposit
134.1258,-18.6998,mineral_deposits.3573,"335039",Bootu Creek,"Shekuma, Gogo, Chugga, Tourag, Xhosa",NT,134.125836,-18.699756,"100",Y,"3",AUTO,O,"MnOre, (Mn)","Manganese ore, (Manganese)",operating mine
118.65,-25.6059,mineral_deposits.3574,"334678",Mudderwearie,,WA,118.65,-25.6059,"999",N,"5",AUTO,O,Mn,Manganese,mineral deposit
139.7672,-20.7326,mineral_deposits.3575,"335238",Leichhardt,,QLD,139.7672006103,-20.7325637142,"100",N,"4",AUTO,O,Cu,Copper,mineral deposit
142.2769,-33.3387,mineral_deposits.3576,"334706",Laburnum,,NSW,142.2768819665,-33.3387045167,"1000",N,"4",AUTO,O,"Rt, Zrn, Ilm, Leu","Rutile, Zircon, Ilmenite, Leucoxene",mineral deposit
