"46270DO002_201617 Land Management and Farming in Australia, 2016�17",,,,,,,
Released at 11:30 am (Canberra time) 26 June 2018,,,,,,,
"Land Management and Farming in Australia, 2016-17 � Australia, States and Territories and NRM regions�2016-17",,,,,,,
,,,,,,,
Region code,Region label,Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors
205,Mallee,AGLANDLLVAHAOTH_F,Agricultural land vacated - Use of land after vacation - Other/unknown - Area of land leased out or vacated (ha),np,,np,
205,Mallee,AGLANDSOLDHA_F,Agricultural land vacated - Land sold during the reference period - Total area (ha),"45,819",**,49,*
205,Mallee,AGLANDLEAVACHA_F,Agricultural land vacated - Land leased out or vacated during the reference period - Total area (ha),"36,455",*,90,*
205,Mallee,LMPAST100ANPAHA_F,Pasture management - Area 100 percent annual pasture - Area (ha),"118,938",*,94,*
205,Mallee,LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"14,309",**,37,*
205,Mallee,LMPAST100PERAHA_F,Pasture management - Area 100 percent perennial pasture - Area (ha),"8,616",**,15,**
205,Mallee,LMLANDCRPPAS_F,Crop and pasture management - Pasture and crop land cultivated - Total area cultivated (ha),"1,239,621",,766,
205,Mallee,LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"56,399",,150,
205,Mallee,LMPASTNOCULPAAHA_F,Crop and pasture management - Pasture land cultivated - No cultivation (apart from sowing or planting) - Area (ha),"49,187",*,98,*
205,Mallee,LMPAST1CULTPAAHA_F,Crop and pasture management - Pasture land cultivated - One cultivation - Area (ha),"2,811",**,52,*
205,Mallee,LMPAST3CULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Three or more cultivations - Area (ha),"4,400",,1,
205,Mallee,LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"1,183,222",,734,
205,Mallee,LMPASTNOCULCRAHA_F,Crop and pasture management - Crop land cultivated - No cultivation (apart from sowing or planting) - Area (ha),"1,071,516",,579,
205,Mallee,LMPAST1CULCRAHA_F,Crop and pasture management - Crop land cultivated - One cultivation - Area (ha),"42,935",*,137,*
205,Mallee,LMPAST2CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Two cultivations - Area (ha),"22,244",*,135,*
205,Mallee,LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"46,528",**,48,*
205,Mallee,LMCULTNUMAHA0_F,Crop and pasture management - Pasture and crop land cultivated - No cultivation (apart from sowing or planting) - Total area (ha),"1,120,703",,596,
205,Mallee,LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"45,746",*,153,*
205,Mallee,LMCULTNUMAHA2_F,Crop and pasture management - Pasture and crop land cultivated - Two cultivations - Total area (ha),"22,244",*,135,*
205,Mallee,LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"50,928",*,48,*
205,Mallee,LMCRSTMAHA_F,Crop stubble and/or trash management -Total area of broadacre crop stubble (ha),"1,089,445",,637,
205,Mallee,LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"32,088",*,131,*
205,Mallee,LMCRSTMHOBAHA_F,Crop stubble and/or trash management - Hot burn - Total area (ha),"16,829",**,45,*
205,Mallee,LMCRSTMWDRAHA_F,Crop stubble and/or trash management - Windrowed and removed - Total area (ha),"54,781",**,62,*
205,Mallee,LMCRSTMINCSAHA_F,Crop stubble and/or trash management - Incorporated into soil - Total area (ha),"9,637",*,31,**
205,Mallee,LMCRSTMRETGAHA_F,Crop stubble and/or trash management - Retained on ground- Total area (ha),"380,963",^,316,^
205,Mallee,LMCRSTMRESAHA_F,Crop stubble and/or trash management - Retained standing - Total area (ha),"424,214",^,267,^
205,Mallee,LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"155,536",^,198,^
205,Mallee,LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"15,397",**,18,**
205,Mallee,LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"6,391",*,35,*
205,Mallee,LMCRROTAHALT6_F,Crop management - Crop land sown to pasture for six months or more of the year (ha),"17,160",*,49,*
205,Mallee,LMINTCROPNEW_F,Crop management - Intercropping practices - Total area (ha),"61,700",**,114,*
205,Mallee,LMINTCROPAHAMS_F,Crop management - Intercropping practices - Mixed inter-row/strip cropping - Area (ha),"45,619",**,26,**
205,Mallee,LMINTCROPAHARE_F,Crop management - Intercropping practices - Relay cropping - Area (ha),373,*,13,**
205,Mallee,LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"4,096",**,55,**
205,Mallee,LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"11,613",**,22,**
205,Mallee,LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"51,549",^,403,^
205,Mallee,LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"134,442",*,358,^
205,Mallee,LMSOILENHALT_F,Soil management - Soil enhancer use - All soil enhancers - Volume applied (L),"284,940",*,51,*
205,Mallee,LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"6,745",*,104,*
205,Mallee,LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"47,876",**,104,*
205,Mallee,LMSOILENHALTCO_F,Soil management - Soil enhancer use - Compost - Volume applied (L),np,,np,
205,Mallee,LMSOILENHAHAGM_F,Soil management - Soil enhancer use - Green manure - Area applied to (ha),"2,047",^,49,*
205,Mallee,LMSOILENHAHAMU_F,Soil management - Soil enhancer use - Mulch - Area applied to (ha),8,**,5,*
205,Mallee,LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),64,*,5,*
205,Mallee,LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"2,325",**,35,*
205,Mallee,LMSOILENHATOLM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Amount applied (t),"3,373",**,34,*
205,Mallee,LMSOILENHALTLM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Volume applied (L),np,,np,
205,Mallee,LMSOILENHAHADM_F,Soil management - Soil enhancer use - Dolomite - Area applied to (ha),398,*,18,**
205,Mallee,LMSOILENHATODM_F,Soil management - Soil enhancer use - Dolomite - Amount applied (t),69,**,16,**
205,Mallee,LMSOILENHALTDM_F,Soil management - Soil enhancer use - Dolomite - Volume applied (L),np,,np,
205,Mallee,LMSOILENHAHAGY_F,Soil management - Soil enhancer use - Gypsum - Area applied to (ha),"32,973",*,148,^
205,Mallee,LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"57,525",*,144,^
205,Mallee,LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,,np,
205,Mallee,LMSOILENHAHAPM_F,Soil management - Soil enhancer use - Poultry manure - Area applied to (ha),"3,636",**,53,*
205,Mallee,LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"17,843",*,53,*
205,Mallee,LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"3,417",^,75,*
205,Mallee,LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),"7,692",^,43,*
205,Mallee,LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"193,548",*,43,*
205,Mallee,LMFINHIBAHA_F,Fertiliser - Fertiliser containing nitrification inhibitor - Area applied to (ha),"1,388",*,17,**
205,Mallee,LMFINHIBATO_F,Fertiliser - Fertiliser containing nitrification inhibitor - Amount applied (t),440,**,16,**
205,Mallee,LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,,np,
205,Mallee,LMSLFERTAHANITRA_F,Fertiliser - Nitrate slow release fertiliser - Area applied to (ha),"149,346",*,173,^
205,Mallee,LMSLFERTATONITRA_F,Fertiliser - Nitrate slow release fertiliser - Weight applied (t),"8,171",*,173,^
205,Mallee,LMSLFERTAHAURE_F,Fertiliser - Urea slow release fertiliser - Area applied to (ha),"75,220",*,140,*
205,Mallee,LMSLFERTATOURE_F,Fertiliser - Urea slow release fertiliser - Weight applied (t),"5,087",*,140,*
205,Mallee,LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"80,069",*,84,*
205,Mallee,LMSLFERTATOOT_F,Fertiliser - Other slow release fertiliser - Weight applied (t),"5,903",*,84,*
205,Mallee,AGFERTTYPEAHASSP_F,Fertiliser - Fertiliser use - Single superphosphate - Area applied to (ha),"111,912",*,215,^
205,Mallee,AGFERTTYPEATOSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Weight applied (t),"8,731",*,215,^
205,Mallee,AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"68,653",*,113,*
205,Mallee,AGFERTTYPEATODTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Weight applied (t),"3,507",*,113,*
205,Mallee,AGFERTTYPEAHAOPB_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Area applied to (ha),"176,214",*,132,*
205,Mallee,AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"10,425",*,101,*
205,Mallee,AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,,31,**
205,Mallee,AGFERTTYPEAHAPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Area applied to (ha),"2,516",,np,
205,Mallee,AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),301,,np,
205,Mallee,AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,,np,
205,Mallee,AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"413,982",^,475,^
205,Mallee,AGFERTTYPEATOURE_F,Fertiliser - Fertiliser use - Urea - Weight applied (t),"30,537",^,448,^
205,Mallee,AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),"244,303",^,28,**
205,Mallee,AGFERTTYPEAHAAMS_F,Fertiliser - Fertiliser use - Ammonium sulphate - Area applied to (ha),"56,546",*,111,^
205,Mallee,AGFERTTYPEATOAMS_F,Fertiliser - Fertiliser use - Ammonium sulphate - Weight applied (t),"3,487",^,100,^
205,Mallee,AGFERTTYPEALOAMS_F,Fertiliser - Fertiliser use - Ammonium sulphate - Volume applied (L),np,,np,
205,Mallee,AGFERTTYPEAHAUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Area applied to (ha),"13,396",*,57,*
205,Mallee,AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"1,296,626",^,57,*
205,Mallee,AGFERTTYPEAHAPTN_F,Fertiliser - Fertiliser use - Potassium nitrate - Area applied to (ha),"11,460",,131,^
205,Mallee,AGFERTTYPEATOPTN_F,Fertiliser - Fertiliser use - Potassium nitrate - Weight applied (t),"3,394",,131,^
205,Mallee,AGFERTTYPEALOPTN_F,Fertiliser - Fertiliser use - Potassium nitrate - Volume applied (L),"171,206",**,20,**
205,Mallee,AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"700,520",^,519,^
205,Mallee,AGFERTTYPEATOAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Weight applied (t),"34,398",^,504,^
205,Mallee,AGFERTTYPEALOAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Volume applied (L),np,,17,**
205,Mallee,AGFERTTYPEAHAONS_F,Fertiliser - Fertiliser use - Other nitrogen-based fertilisers - Area applied to (ha),"252,363",*,227,^
205,Mallee,AGFERTTYPEATOONB_F,Fertiliser - Fertiliser use - Other nitrogen-based fertilisers - Weight applied (t),"17,172",*,218,^
205,Mallee,AGFERTTYPELTRONB_F,Fertiliser - Fertiliser use - Other nitrogen-based fertilisers - Volume applied (L),"357,594",,14,^
205,Mallee,AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"49,704",*,66,*
205,Mallee,AGFERTTYPEATOOTH_F,Fertiliser - Fertiliser use - All other fertilisers - Weight applied (t),"1,606",*,35,*
205,Mallee,AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"203,432",**,32,*
205,Mallee,LMFCROPAHAIP_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Irrigated pasture - Area fertilised (ha),653,**,12,**
205,Mallee,LMFCROPATOIP_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Irrigated pasture - Weight applied (t),137,*,12,**
205,Mallee,LMFCROPALTIP_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Irrigated pasture - Volume applied (L),np,,np,
205,Mallee,LMFCROPAHANIP_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Non-irrigated pasture - Area fertilised (ha),"9,902",^,19,**
205,Mallee,LMFCROPATONIP_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Non-irrigated pasture - Weight applied (t),618,^,18,**
205,Mallee,LMFCROPAHAOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Area fertilised (ha),"15,142",^,142,^
205,Mallee,LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"8,169",^,101,^
205,Mallee,LMFCROPALTOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Volume applied (L),"1,462,026",,43,*
205,Mallee,LMFCROPAHAOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Area fertilised (ha),"668,764",^,391,^
205,Mallee,LMFCROPATOOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Weight applied (t),"53,264",^,380,^
205,Mallee,LMFCROPALTOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Volume applied (L),np,,np,
206,North Central,AGLANDTOTLAHA_F,Area of holding (ha) (a),"1,969,349",,"3,011",
206,North Central,AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"58,661",,"2,140",
206,North Central,AGNONPROD_AHACON_F,Land use - Land set aside for conservation/protection purposes - Area (ha) (b),"27,788",^,965,
206,North Central,AGNONPROD_AHAOTH_F,Land use - Other areas not used for agricultural production - Area (ha) (c),"30,873",,"2,046",
206,North Central,AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"1,831,671",,"2,909",
206,North Central,AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"955,319",,"1,860",
206,North Central,AGLANDGRAZEHA_F,Land use - Land mainly used for grazing - Total area (ha) (e),"867,131",,"2,282",
206,North Central,AGPROD_AHAGRI_F,Land use - Land mainly used for grazing - Grazing on improved pastures - Area (ha),"634,119",,"2,086",
206,North Central,AGPROD_AHAGRO_F,Land use - Land mainly used for grazing - Grazing on other land - Area (ha) (f),"233,013",^,843,
206,North Central,AGPROD_AHACRGR_D,Land use - Land mainly used for cropping and improved pastures - Total area (ha),"1,589,437",,"2,748",
206,North Central,AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"2,854",,202,
206,North Central,AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),891,*,106,*
206,North Central,AGPRODFORNATAHA_F,Land use - Land mainly used for forestry - Native forest - Area (ha),"1,963",**,107,*
206,North Central,AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),"6,367",*,231,*
206,North Central,AGLANDLSAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land sold (ha),np,,100,*
206,North Central,AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"21,337",**,72,**
206,North Central,AGLANDLSAHAUDV_F,Agricultural land vacated - Use of land after vacation - Urban development - Area of land sold (ha),np,,np,
206,North Central,AGLANDSOLDHA_F,Agricultural land vacated - Land sold during the reference period - Total area (ha),"62,148",*,102,*
206,North Central,AGLANDLEAVACHA_F,Agricultural land vacated - Land leased out or vacated during the reference period - Total area (ha),"21,337",**,72,**
206,North Central,LMPAST100ANPAHA_F,Pasture management - Area 100 percent annual pasture - Area (ha),"147,099",^,569,^
206,North Central,LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"252,538",^,805,
206,North Central,LMPAST100PERAHA_F,Pasture management - Area 100 percent perennial pasture - Area (ha),"55,647",*,308,^
206,North Central,LMLANDCRPPAS_F,Crop and pasture management - Pasture and crop land cultivated - Total area cultivated (ha),"644,246",,"1,483",
206,North Central,LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"115,324",,767,
206,North Central,LMPASTNOCULPAAHA_F,Crop and pasture management - Pasture land cultivated - No cultivation (apart from sowing or planting) - Area (ha),"72,880",*,357,^
206,North Central,LMPAST1CULTPAAHA_F,Crop and pasture management - Pasture land cultivated - One cultivation - Area (ha),"23,655",*,304,^
206,North Central,LMPAST2CULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Two cultivations - Area (ha),"14,827",*,257,^
206,North Central,LMPAST3CULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Three or more cultivations - Area (ha),"3,961",*,93,*
206,North Central,LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"528,923",,"1,120",
206,North Central,LMPASTNOCULCRAHA_F,Crop and pasture management - Crop land cultivated - No cultivation (apart from sowing or planting) - Area (ha),"399,331",^,701,^
206,North Central,LMPAST1CULCRAHA_F,Crop and pasture management - Crop land cultivated - One cultivation - Area (ha),"64,028",*,280,^
206,North Central,LMPAST2CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Two cultivations - Area (ha),"43,962",*,264,^
206,North Central,LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"21,601",*,134,^
206,North Central,LMCULTNUMAHA0_F,Crop and pasture management - Pasture and crop land cultivated - No cultivation (apart from sowing or planting) - Total area (ha),"472,211",^,858,
206,North Central,LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"87,683",^,491,^
206,North Central,LMCULTNUMAHA2_F,Crop and pasture management - Pasture and crop land cultivated - Two cultivations - Total area (ha),"58,790",^,423,^
206,North Central,LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"25,563",*,210,^
206,North Central,LMCRSTMAHA_F,Crop stubble and/or trash management -Total area of broadacre crop stubble (ha),"681,113",,"1,243",
206,North Central,LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"70,158",^,366,^
206,North Central,LMCRSTMHOBAHA_F,Crop stubble and/or trash management - Hot burn - Total area (ha),"57,391",^,324,^
206,North Central,LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),984,**,30,**
206,North Central,LMCRSTMWDRAHA_F,Crop stubble and/or trash management - Windrowed and removed - Total area (ha),"28,499",*,184,^
206,North Central,LMCRSTMINCSAHA_F,Crop stubble and/or trash management - Incorporated into soil - Total area (ha),"41,797",*,220,^
206,North Central,LMCRSTMRETGAHA_F,Crop stubble and/or trash management - Retained on ground- Total area (ha),"195,686",^,403,^
206,North Central,LMCRSTMRESAHA_F,Crop stubble and/or trash management - Retained standing - Total area (ha),"191,252",^,218,^
206,North Central,LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"88,959",^,448,^
206,North Central,LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"6,387",*,50,**
206,North Central,LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"25,143",*,268,^
206,North Central,LMCRROTAHALT6_F,Crop management - Crop land sown to pasture for six months or more of the year (ha),"42,369",^,418,^
206,North Central,LMINTCROPNEW_F,Crop management - Intercropping practices - Total area (ha),"60,805",*,280,^
206,North Central,LMINTCROPAHAMS_F,Crop management - Intercropping practices - Mixed inter-row/strip cropping - Area (ha),"38,155",*,84,*
206,North Central,LMINTCROPAHARE_F,Crop management - Intercropping practices - Relay cropping - Area (ha),343,**,11,**
206,North Central,LMINTCROPAHARA_F,Crop management - Intercropping practices - Row alley cropping - Area (ha),76,*,2,*
206,North Central,LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"13,678",*,120,*
206,North Central,LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"8,531",*,77,*
206,North Central,LMINTCROPAHAOT_F,Crop management - Intercropping practices - Other intercropping practices - Area (ha),22,*,1,*
206,North Central,LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"169,233",^,"1,170",
206,North Central,LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"298,918",^,"1,090",
206,North Central,LMSOILENHALT_F,Soil management - Soil enhancer use - All soil enhancers - Volume applied (L),np,,73,*
206,North Central,LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"11,735",*,101,*
206,North Central,LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"54,084",*,96,*
206,North Central,LMSOILENHALTCO_F,Soil management - Soil enhancer use - Compost - Volume applied (L),np,,np,
206,North Central,LMSOILENHAHAGM_F,Soil management - Soil enhancer use - Green manure - Area applied to (ha),"2,927",**,38,**
206,North Central,LMSOILENHAHAMU_F,Soil management - Soil enhancer use - Mulch - Area applied to (ha),"1,710",*,22,**
206,North Central,LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,,22,**
206,North Central,LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"66,717",^,502,^
206,North Central,LMSOILENHATOLM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Amount applied (t),np,,502,^
206,North Central,LMSOILENHAHADM_F,Soil management - Soil enhancer use - Dolomite - Area applied to (ha),294,**,34,**
206,North Central,LMSOILENHATODM_F,Soil management - Soil enhancer use - Dolomite - Amount applied (t),np,,34,**
206,North Central,LMSOILENHAHAGY_F,Soil management - Soil enhancer use - Gypsum - Area applied to (ha),"48,379",^,477,^
206,North Central,LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"57,120",^,476,^
206,North Central,LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,,np,
206,North Central,LMSOILENHAHAPM_F,Soil management - Soil enhancer use - Poultry manure - Area applied to (ha),"25,452",*,206,^
206,North Central,LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"46,806",*,206,^
206,North Central,LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"12,019",*,102,*
206,North Central,LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),"35,137",**,36,*
206,North Central,LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"168,503",**,66,*
206,North Central,LMFINHIBAHA_F,Fertiliser - Fertiliser containing nitrification inhibitor - Area applied to (ha),"26,571",*,87,*
206,North Central,LMFINHIBATO_F,Fertiliser - Fertiliser containing nitrification inhibitor - Amount applied (t),"5,017",**,87,*
206,North Central,LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,,np,
206,North Central,LMSLFERTAHANITRA_F,Fertiliser - Nitrate slow release fertiliser - Area applied to (ha),"57,700",^,178,^
206,North Central,LMSLFERTATONITRA_F,Fertiliser - Nitrate slow release fertiliser - Weight applied (t),"4,165",^,178,^
206,North Central,LMSLFERTAHAURE_F,Fertiliser - Urea slow release fertiliser - Area applied to (ha),"97,069",*,298,^
206,North Central,LMSLFERTATOURE_F,Fertiliser - Urea slow release fertiliser - Weight applied (t),"10,507",*,298,^
206,North Central,LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"45,813",*,127,*
206,North Central,LMSLFERTATOOT_F,Fertiliser - Other slow release fertiliser - Weight applied (t),"3,602",*,127,*
206,North Central,AGFERTTYPEAHASSP_F,Fertiliser - Fertiliser use - Single superphosphate - Area applied to (ha),"169,154",^,795,^
206,North Central,AGFERTTYPEATOSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Weight applied (t),"24,625",^,794,^
206,North Central,AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"97,245",*,208,^
206,North Central,AGFERTTYPEATODTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Weight applied (t),"5,970",^,208,^
206,North Central,AGFERTTYPEAHAOPB_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Area applied to (ha),"82,061",*,172,^
206,North Central,AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"4,761",*,166,^
206,North Central,AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,,np,
206,North Central,AGFERTTYPEAHAPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Area applied to (ha),np,,76,*
206,North Central,AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),957,**,76,*
206,North Central,AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"402,921",,813,
206,North Central,AGFERTTYPEATOURE_F,Fertiliser - Fertiliser use - Urea - Weight applied (t),"44,212",^,809,
206,North Central,AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),"68,222",^,14,*
206,North Central,AGFERTTYPEAHAAMS_F,Fertiliser - Fertiliser use - Ammonium sulphate - Area applied to (ha),"13,737",^,93,*
206,North Central,AGFERTTYPEATOAMS_F,Fertiliser - Fertiliser use - Ammonium sulphate - Weight applied (t),858,*,93,*
206,North Central,AGFERTTYPEAHAUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Area applied to (ha),"18,066",**,25,*
206,North Central,AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"827,258",*,25,*
206,North Central,AGFERTTYPEAHAANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Area applied to (ha),np,,np,
206,North Central,AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),np,,np,
206,North Central,AGFERTTYPEAHAPTN_F,Fertiliser - Fertiliser use - Potassium nitrate - Area applied to (ha),"1,572",,40,^
206,North Central,AGFERTTYPEATOPTN_F,Fertiliser - Fertiliser use - Potassium nitrate - Weight applied (t),np,,40,^
206,North Central,AGFERTTYPEALOPTN_F,Fertiliser - Fertiliser use - Potassium nitrate - Volume applied (L),np,,np,
